is_draft,author_account_age_days,additions,deletions,changed_files,commits_count,body_len,created_day_of_week,created_hour,requested_reviewers_count,is_risky,total_changes,change_ratio,avg_changes_per_file,commits_per_file,title_length,is_weekend,is_business_hours,has_body,has_labels,has_milestone,has_file_extensions,author_association_encoded
0,6143,5,5,2,2,29,1,7,0,0,10,0.8333333333333334,3.3333333333333335,0.6666666666666666,22,0,0,1,0,0,1,1
0,5037,167,72,6,1,1931,5,0,0,1,239,2.287671232876712,34.142857142857146,0.14285714285714285,37,1,0,1,0,1,1,2
0,5030,779,1007,36,1,3517,4,22,0,1,1786,0.7728174603174603,48.270270270270274,0.02702702702702703,29,0,0,1,0,1,1,2
0,5005,5,5,3,1,0,1,20,0,0,10,0.8333333333333334,2.5,0.25,21,0,0,0,0,1,1,2
0,5005,63,32,3,1,459,1,15,0,0,95,1.9090909090909092,23.75,0.25,44,0,1,1,1,1,1,2
0,5004,21,0,1,1,12,0,18,0,0,21,21.0,10.5,0.5,31,0,0,1,1,0,1,2
0,5004,15,23,3,1,342,0,16,0,0,38,0.625,9.5,0.25,40,0,1,1,0,1,1,2
0,3192,16,3,1,1,1433,3,4,0,1,19,4.0,9.5,0.5,52,0,0,1,0,0,1,1
0,4559,2,1,2,1,141,2,10,0,1,3,1.0,1.0,0.3333333333333333,57,0,1,1,0,1,1,1
0,4935,9,3,9,1,36,0,21,0,0,12,2.25,1.2,0.1,8,0,0,1,0,0,1,2
0,4933,3,26,2,1,65,6,16,0,0,29,0.1111111111111111,9.666666666666666,0.3333333333333333,22,1,1,1,0,0,1,2
0,2980,6,8,1,1,472,2,18,0,1,14,0.6666666666666666,7.0,0.5,43,0,0,1,1,0,1,1
0,5058,1,1,1,1,242,6,15,0,1,2,0.5,1.0,0.5,28,1,1,1,1,0,1,1
0,3051,410,112,6,2,1957,5,4,0,1,522,3.6283185840707963,74.57142857142857,0.2857142857142857,43,1,0,1,0,1,1,1
0,4907,78,284,11,1,229,1,15,0,0,362,0.2736842105263158,30.166666666666668,0.08333333333333333,32,0,1,1,0,1,1,2
0,4907,4,4,3,1,0,1,14,0,0,8,0.8,2.0,0.25,21,0,1,0,0,1,1,2
0,4906,1876,534,24,1,837,0,0,0,0,2410,3.506542056074766,96.4,0.04,6,0,0,1,0,1,1,2
0,1443,1,1,1,1,755,3,15,0,1,2,0.5,1.0,0.5,46,0,1,1,1,0,1,1
0,4863,3,35,2,1,182,5,22,0,0,38,0.08333333333333333,12.666666666666666,0.3333333333333333,48,1,0,1,0,1,1,2
0,4863,5,2,1,1,11,5,22,0,0,7,1.6666666666666667,3.5,0.5,36,1,0,1,1,0,1,2
0,4863,14,13,1,1,135,5,22,0,0,27,1.0,13.5,0.5,39,1,0,1,1,1,1,2
0,3714,0,13,1,1,399,0,9,0,1,13,0.0,6.5,0.5,40,0,1,1,1,0,1,1
0,3577,5,1,2,1,585,3,3,0,1,6,2.5,2.0,0.3333333333333333,45,0,0,1,1,1,1,1
0,1487,2,2,1,1,216,5,22,0,1,4,0.6666666666666666,2.0,0.5,23,1,0,1,1,0,1,1
0,2013,6,0,2,1,364,0,23,0,1,6,6.0,2.0,0.3333333333333333,23,0,0,1,1,1,1,1
0,5097,1,1,1,1,847,2,10,0,1,2,0.5,1.0,0.5,20,0,1,1,1,0,1,1
0,4737,1,1,1,1,137,6,0,0,0,2,0.5,1.0,0.5,32,1,0,1,0,1,1,2
0,4737,2,21,2,1,118,5,23,0,0,23,0.09090909090909091,7.666666666666667,0.3333333333333333,33,1,0,1,0,1,1,2
0,1567,4,1,2,1,285,5,0,0,1,5,2.0,1.6666666666666667,0.3333333333333333,37,1,0,1,0,1,1,3
0,4726,3,3,2,1,0,2,17,0,0,6,0.75,2.0,0.3333333333333333,21,0,1,0,0,1,1,2
0,4726,7,5,1,1,46,2,16,0,0,12,1.1666666666666667,6.0,0.5,29,0,1,1,0,1,1,2
0,4726,40,0,4,1,571,2,4,0,0,40,40.0,8.0,0.2,43,0,0,1,0,1,1,2
0,4724,98,43,5,1,514,0,4,0,0,141,2.227272727272727,23.5,0.16666666666666666,97,0,0,1,0,1,1,2
0,4721,4,4,4,1,69,4,17,0,0,8,0.8,1.6,0.2,26,0,1,1,0,1,1,2
